SKU,Qty Sold,GMV
"2321100","80","873,28 "
"23864100","14","588,12 "
"22685100","15","478,87 "
"23425100","3","45,35 "
"2005571100","1","6,71 "
"58572500","14","117,53 "
"69400800","2","40,32 "
"69209800","1","19,32 "
"86930500","6","100,79 "
"50623100","4","33,58 "
"20194100","7","23,47 "
"2751011100","11","46,13 "
"5971100","2","50,40 "
"69461800","1","16,80 "
"152256100","1","25,20 "
"23539100","1","25,20 "
"3814020500","10","83,95 "
"4466590100","86","721,97 "
"22578100","9","18,83 "
"23971100","1","12,60 "
"20368100","4","13,41 "
"21220100","4","50,39 "
"22515100","4","16,77 "
"22793100","31","156,04 "
"23145100","7","52,88 "
"88810500","7","58,77 "
"17388100","205","1.376,43 "
"23859100","5","62,98 "
"7387500","13","141,91 "
"21210100","8","100,77 "
"2768010100","3","75,61 "
"819111500","4","117,61 "
"35452500","29","243,46 "
"3538042500","95","637,86 "
"22693100","68","1.142,28 "
"23314100","1","15,12 "
"7446200500","7","58,77 "
"21205100","9","113,37 "
"63030100","1","4,19 "
"23922100","1","8,40 "
"24061100","1","12,60 "
"24366100","3","35,27 "
"17219010100","3","10,06 "
"77361500","11","92,35 "
"23750100","6","60,45 "
"54760100","27","158,60 "
"23361100","10","184,79 "
"53065100","2","5,03 "
"50222100","5","75,59 "
"23132100","8","87,33 "
"69356800","6","136,08 "
"21226100","5","41,98 "
"6200030100","1","42,01 "
"1264073500","32","403,09 "
"65505100","3","126,03 "
"8245500","3","37,79 "
"53130100","23","231,74 "
"23246100","8","53,71 "
"23336100","1","10,08 "
"5410010100","3","37,79 "
"1273070500","64","806,18 "
"19212100","3","37,79 "
"4340031100","3","75,61 "
"21227100","22","369,56 "
"69310800","5","96,60 "
"18769100","8","100,77 "
"24266100","1","46,21 "
"19780100","1","6,71 "
"23591100","5","41,98 "
"20265100","1","12,60 "
"21792100","10","50,34 "
"23262100","1","16,80 "
"23413100","7","129,35 "
"21273100","1","12,60 "
"22908100","2","33,60 "
"19122100","2","25,19 "
"23661100","50","419,75 "
"3792742800","3","50,37 "
"22574100","6","30,20 "
"290222100","2","20,15 "
"22318100","2","109,23 "
"87950500","2","50,40 "
"23598100","45","377,78 "
"20417100","2","50,40 "
"69313800","4","120,97 "
"22312100","37","497,17 "
"23512100","1","21,84 "
"17996100","41","550,92 "
"22075100","9","211,69 "
"3792700100","23","57,79 "
"22024100","9","113,37 "
"23797100","1","16,80 "
"5410011100","1","6,71 "
"22461100","7","29,35 "
"69109800","7","164,65 "
"23672100","6","65,50 "
"50621100","4","50,39 "
"24312100","2","13,43 "
"22650100","69","463,29 "
"4214074500","20","100,67 "
"20827100","2","21,83 "
"54797100","2","33,60 "
"20077100","3","75,61 "
"4466030100","1","5,87 "
"23825100","1","16,80 "
"69452800","2","53,76 "
"88311500","4","67,19 "
"23602100","9","136,06 "
"23683100","5","50,38 "
"23360100","2","26,87 "
"69435800","8","201,61 "
"22071100","2","30,24 "
"69354800","1","22,68 "
"20263100","44","554,25 "
"54672100","83","1.045,52 "
"53161100","8","134,39 "
"8611500","1","8,40 "
"53062100","1","21,00 "
"69244800","3","75,61 "
"22145100","5","62,98 "
"82170500","4","43,66 "
"23066100","1","5,03 "
"8443500","1","10,92 "
"4381632100","6","176,42 "
"62083100","1","50,41 "
"23529100","2","33,60 "
"21743100","1","46,21 "
"22850100","4","13,41 "
"23537100","1","25,20 "
"23728100","1","5,87 "
"23207100","1","16,80 "
"23586100","1","5,87 "
"69298800","1","30,24 "
"23182100","1","16,80 "
"82560500","86","721,97 "
"10503111100","5","8,36 "
"22152100","1","15,12 "
"22382100","1","33,61 "
"87011500","12","100,74 "
"69445800","1","26,88 "
"69358800","1","22,68 "
"23687100","1","10,08 "
"22047100","1","7,55 "
"23181100","85","713,58 "
"10101211100","5","20,97 "
"21107100","6","35,24 "
"22615100","2","25,19 "
"22712100","3","75,61 "
"23136100","3","22,66 "
"54788100","24","161,14 "
"22701100","25","377,94 "
"3772020100","16","672,13 "
"88193500","9","151,18 "
"69420800","8","201,61 "
"21430100","21","229,24 "
"3792712800","1","24,36 "
"2318100","46","502,14 "
"3774011100","7","294,06 "
"4381630100","18","453,63 "
"17894100","4","67,19 "
"81330500","13","141,91 "
"56140111500","2","47,04 "
"23757100","1","12,60 "
"3770010100","1","33,61 "
"19226100","10","252,02 "
"23733100","2","8,39 "
"204382800","11","212,51 "
"17452100","1","25,20 "
"69432800","1","27,72 "
"1180992500","10","167,98 "
"19444100","1","6,71 "
"22190100","1","21,00 "
"69438800","1","14,28 "
"21819100","18","75,48 "
"89070500","8","67,16 "
"23258100","2","13,43 "
"50610100","8","268,84 "
"22941100","3","20,14 "
"24165100","6","151,21 "
"22475100","1","25,20 "
"24200100","1","10,08 "
"18513100","1","3,35 "
"20476100","1","8,40 "
"65509100","39","491,27 "
"3792767100","28","352,70 "
"22013100","2","30,24 "
"5871100","3","63,00 "
"23532100","2","50,40 "
"22150100","1","12,60 "
"47040100","1","10,08 "
"23187100","2","42,00 "
"23646100","11","184,78 "
"15100060100","1","2,51 "
"24313100","2","33,60 "
