sku	asin	price	quantity
110003100	B000SLQWAS	44.99	22
1101993500	B01LVV4CKB	19.99	70
115008100	B000SLW0YK	29.99	13
1160995500	B00576B920	19.99	7
1170997500	B00IAQDVMU	19.99	51
1180992500	B00FL0AQD0	19.99	19
1180993500	B00OZX56X4	19.99	19
1201073100	B00ESX5ZDM	19.99	70
1201143100	B002LLN7NI	21.99	11
1201633100	B002LLN7NS	24.99	46
1201733500	B007MFCABI	24.99	112
12100100	B00J5ARVHG	39.99	18
12102100	B000XUPGL0	24.99	67
12104100	B06W5VR557	69.99	24
12256100	B003IX0BQY	44.99	7
12285100	B005SBUJJI	49.99	101
1295640100	B003IX0CPO	19.99	28
1296993100	B002LLN7N8	19.99	23
1398993500	B00IAQDRQK	19.99	27
1412760100	B00K7YPV8A	29.99	13
1412760102	B00K7YPV8A	23.99	13
1412762100	B00K7XRYYK	39.99	6
144726100	B003IT6IIS	39.99	25
15069100	B003IX0C8Q	27.99	7
15109100	B00008WZ1H	17.99	9
15148100	B00LL5PN64	27.99	42
15165100	B00008WZ1L	19.99	26
15166100	B003IX0CS6	19.99	10
15170100	B003IX0DEY	24.99	11
15173100	B00008WZ1A	29.99	6
152004100	B003IT6I0G	27.99	73
152201100	B003IT6I4C	29.99	9
152256100	B003IT6I2O	29.99	11
152285100	B0046A7U80	29.99	8
15236100	B003IX0DT4	79.99	10
154008100	B003IT6I6A	29.99	26
15450100	B0002AEAEK	29.99	42
15498100	B07D644471	19.99	9
15578100	B00DCEPH54	39.99	130
15580100	B003IX0BIC	34.99	9
15581100	B0056G4MVG	79.99	19
15850100	B000M3658Q	54.99	8
15851100	B003IX0BDM	64.99	7
15852100	B000M37VUW	69.99	10
15853100	B003IX0BDW	79.99	7
15861100	B0002SMLPW	19.99	16
15895100	B003IX0DRG	59.99	9
15940100	B000M366GW	17.99	17
15941100	B000M366N0	17.99	6
16605100	B007FDVI4M	34.99	16
16607100	B00BN6AA50	37.99	19
16608100	B000M366SA	39.99	16
16610100	B000M3674S	39.99	51
16611100	B001QUQQ2Y	69.99	10
16612100	B000XJC15K	84.99	7
16621100	B0012L8B1Q	44.99	9
16633100	B0002AEAEU	44.99	13
16700100	B003IX0CNQ	19.99	122
16705100	B000SLW1AS	27.99	16
16742100	B003IX0C8G	19.99	30
16749100	B000M3AY7E	24.99	7
16754100	B000M368L0	39.99	10
16777100	B0015LKIYG	27.99	29
16800100	B0002SMM8I	39.99	9
16821100	B000V7HFC8	27.99	9
16824100	B07DKQWZXZ	24.99	13
16827100	B00KZDZ386	99.99	10
16831100	B003IX0DF8	79.99	7
16842100	B07DNFSXCN	79.99	7
16850100	B003IX0DN0	17.99	9
16874100	B000AO0VEQ	17.99	10
16993100	B003IX0DIK	37.99	8
17092100	B000M39J48	27.99	17
17093100	B000M3AZSW	29.99	7
17107100	B003IX0CXQ	59.99	7
17108100	B003IX0CXG	39.99	16
17110100	B003IX0DGW	39.99	30
17132100	B005G2WSR0	39.99	8
17202100	B003IX0C0O	27.99	8
17290100	B003IX0DVC	27.99	11
17451100	B000SLW0K4	29.99	16
17452100	B000SLW0ZY	29.99	16
17472100	B003IX0CR2	29.99	48
17528100	B00KZDZQ5G	45.99	10
17529100	B000XJE3O2	49.99	13
17612100	B003IT6HRA	39.99	6
17676100	B001B6P2TQ	24.99	15
17680100	B007BMYB5U	15.99	14
17715100	B001B6T6K2	24.99	10
17753100	B00KZDLQ82	39.99	41
17771100	B006P0DQ8C	39.99	12
17773100	B001B6T4WC	47.99	14
17775100	B001B6T4TU	54.99	30
17777100	B001B6VSMG	64.99	10
17792100	B001B6VR8Q	29.99	10
17795100	B001B6OZLC	17.99	14
17796100	B001B6OZM6	19.99	40
17798100	B001B6VRAE	19.99	49
17801100	B00KZE07UY	29.99	10
17814100	B001B6OZXU	39.99	25
17815100	B001B6P0CU	14.99	20
17817100	B001B6T3V4	39.99	24
17818100	B001B6T3WI	34.99	6
17821100	B001B6P0IY	39.99	37
17823100	B001B6T45O	19.99	9
17824100	B001B6VS30	19.99	6
17828100	B001B6T472	29.99	14
17829100	B001B6QXTO	39.99	10
17830100	B001B6P0K2	19.99	6
17831100	B001B6QXNK	34.99	13
17832100	B00ET4SFDC	19.99	16
17834100	B001B6P0GQ	15.99	9
17835100	B001B6VS7Q	29.99	12
17837100	B001B6VRXG	29.99	8
17840100	B001B6T3F0	29.99	60
17875100	B003IX0D08	19.99	18
17880100	B005GJ6QSA	14.99	35
17882100	B003IX0BFK	21.99	17
17894100	B003IX0D0I	19.99	32
17901100	B001TH8ISO	19.99	93
17902100	B001TH8ISE	19.99	12
17921100	B001TH8JIS	14.99	29
17923100	B001TH8JJM	27.99	19
17928100	B003IX0BFU	27.99	15
17929100	B0056G49AU	39.99	18
1792921100	B07P48XX4C	59.99	5
17930100	B003SLDY4W	49.99	10
17932100	B0030GGQ6S	19.99	31
17933100	B003IX0C4A	29.99	7
17937100	B0030GB2YY	59.99	9
179371100	B07NZY1B15	59.99	9
17950100	B003IT6IN8	59.99	8
1796140100	B00434SOI4	14.99	3
17964100	B003IX0B3M	79.99	12
17969100	B00D79O0WU	89.99	14
1796993100	B00D43D6G0	15.99	7
17995100	B001TH8J4C	15.99	29
18167100	B001TH8JJ2	19.99	12
18170100	B001TH8JJW	44.99	9
18171100	B001TH8JOC	17.99	10
18172100	B001TH8JOM	19.99	18
18176100	B001TH8JMO	14.99	13
18350100	B003IX0DHG	79.99	11
18351100	B003IX0CYK	79.99	8
18354100	B003IX0CUY	99.99	7
18394100	B001TH8JRY	49.99	21
18396100	B001TH8JS8	69.99	146
18400100	B000UUNKFC	19.99	12
18401100	B000UUQK18	27.99	24
18402100	B000UUNKGQ	27.99	14
18403100	B000UUQK22	37.99	9
18411100	B000UUNKDO	19.99	19
18415100	B000UUNKES	19.99	15
18416100	B000UUQK7C	34.99	26
18417100	B005SBS36E	39.99	31
18420100	B07DNCRHPG	39.99	54
18442100	B005FWTH3Y	49.99	18
18447100	B003IX0CZ4	64.99	27
18448100	B003IX0DI0	64.99	12
18451100	B003IX0CX6	34.99	17
18452100	B003IX0DGM	39.99	11
18553100	B003IX0BEG	29.99	10
18562100	B003IX0DH6	79.99	7
18563100	B003IX0CYA	69.99	20
18564100	B003SLDWZ8	79.99	8
18565100	B00KZDJU08	69.99	8
18569100	B003IX0DJY	14.99	15
18570100	B003SLDWX0	17.99	15
18572100	B007JQFOQI	19.99	8
18574100	B007JQFOQ8	14.99	84
18575100	B007JQFP12	21.99	17
18576100	B007JQFP0S	27.99	16
18596100	B003SLDWQW	49.99	22
18597100	B003SLDWRG	89.99	87
18603100	B002UZEQJO	122.99	50
18606100	B003RDN5D6	57.99	4
18614100	B00576QINU	64.99	32
18615100	B003F6IBCK	19.99	15
18616100	B003IX0D6M	29.99	180
18617100	B004UE6N6W	54.99	57
18618100	B006A5BCQ0	74.99	109
18620100	B00LL5UYA4	89.99	64
18687100	B00576BTHU	89.99	9
18688100	B00538QCB0	69.99	8
18689100	B00538QC0G	49.99	7
18690100	B00538QALM	29.99	6
18718100	B003SLDX3Y	27.99	11
18719100	B005DWEAC4	14.99	9
18760100	B00466IXI0	49.99	43
18768100	B003SLDWNA	19.99	12
18769100	B003SLDWJO	14.99	26
18772100	B003SLDWKI	17.99	16
18773100	B003SLDWN0	19.99	32
18775100	B007ASSQXS	16.99	25
18796100	B003F2M4U4	39.99	24
18902100	B00466IXIA	49.99	33
18903100	B00466IXHQ	39.99	84
18904100	B00KZDKQY2	39.99	14
18913100	B00DQSO9M8	17.99	139
18914100	B00BU2KBTW	34.99	11
18915100	B003SLDWL2	29.99	30
18916100	B003SLDWLW	34.99	13
18936100	B003SLDX7A	17.99	16
18937100	B0048BOXIW	17.99	10
18957100	B003SLDWVW	19.99	10
18993100	B003X0BWBU	17.99	14
19101100	B000SLVWC6	14.99	14
19119100	B000SLVWJO	14.99	12
19122100	B0056G26AU	14.99	6
19125100	B000SLU6AA	14.99	10
19140100	B000SLQT42	14.99	12
19145100	B000SLQTDI	14.99	8
19146100	B000SLVXMU	19.99	44
19155100	B000SLU7G8	24.99	16
19203100	B000SLU8OO	24.99	41
19206100	B005RAKO04	34.99	52
19214100	B000SLW004	24.99	13
19215100	B000SLS92W	24.99	9
19216100	B000SLS94U	34.99	114
19218100	B000SLU9L6	34.99	12
